date,amount,amount_other,balance,account_id,business_NAF_code,user_id,month_sin,month_cos,month_week_sin,month_week_cos
2019-12-16,-43.09,160.0,1675.29,1,9001Z,112,-0.0,1.0,-0.9510565162951536,0.30901699437494723
2019-12-23,-2242.39,2947.35,2380.25,1,9001Z,112,-0.0,1.0,-2.4492935982947064e-16,1.0
2019-12-30,-1557.29,525.52,1348.48,1,9001Z,112,-0.0,1.0,-0.9510565162951529,0.30901699437494956
2020-01-06,-899.92,935.15,1383.71,1,9001Z,112,0.5,0.87,0.5877852522924732,-0.8090169943749473
2020-01-13,-2584.96,2804.44,1603.19,1,9001Z,112,0.5,0.87,-0.587785252292473,-0.8090169943749475
2020-01-20,-826.49,402.45,1179.15,1,9001Z,112,0.5,0.87,-0.9510565162951536,0.30901699437494723
2020-01-27,-556.42,1090.24,1712.97,1,9001Z,112,0.5,0.87,-2.4492935982947064e-16,1.0
2020-02-03,-998.11,1581.62,2296.48,1,9001Z,112,0.87,0.5,0.5877852522924732,-0.8090169943749473
2020-02-10,-1849.04,994.45,1441.89,1,9001Z,112,0.87,0.5,-0.587785252292473,-0.8090169943749475
2020-02-17,-1426.57,1551.71,1567.03,1,9001Z,112,0.87,0.5,-0.9510565162951536,0.30901699437494723
2020-02-24,-414.45,199.94,1352.52,1,9001Z,112,0.87,0.5,-2.4492935982947064e-16,1.0
2020-03-02,-26.79,2841.92,4167.65,1,9001Z,112,1.0,0.0,0.5877852522924732,-0.8090169943749473
2020-03-09,-9231.79,6655.66,1591.52,1,9001Z,112,1.0,0.0,-0.587785252292473,-0.8090169943749475
2020-03-16,-1104.05,987.26,1474.73,1,9001Z,112,1.0,0.0,-0.9510565162951536,0.30901699437494723
2020-03-23,-1145.54,4280.9,4610.09,1,9001Z,112,1.0,0.0,-2.4492935982947064e-16,1.0
2020-03-30,-2245.86,149.0,2513.23,1,9001Z,112,1.0,0.0,0.9510565162951535,0.30901699437494773
2020-04-06,-1192.02,1183.25,2504.46,1,9001Z,112,0.87,-0.5,0.5877852522924732,-0.8090169943749473
