date,amount,amount_other,balance,account_id,business_NAF_code,user_id,month_sin,month_cos
2019-12-31,3678.02,-3886.84,1349.56,1,9001Z,112,-0.0,1.0
2020-01-31,6768.75,-5571.71,2546.6,1,9001Z,112,0.5,0.87
2020-02-29,2996.1,-3966.97,1575.73,1,9001Z,112,0.87,0.5
2020-03-31,14914.74,-13781.9,2708.57,1,9001Z,112,1.0,0.0
2020-04-30,3322.2,-3264.85,2765.92,1,9001Z,112,0.87,-0.5
2020-05-31,9942.77,-6549.4,6159.29,1,9001Z,112,0.5,-0.87
2020-06-30,5369.01,-8339.84,3188.46,1,9001Z,112,0.0,-1.0
2020-07-31,3268.13,-5449.26,1007.33,1,9001Z,112,-0.5,-0.87
2020-08-31,6196.0,-6695.06,508.27,1,9001Z,112,-0.87,-0.5
2020-09-30,4812.09,-5786.02,-465.66,1,9001Z,112,-1.0,-0.0
2019-07-31,3763.63,-2330.06,-1066.43,2,4932Z,104,-0.5,-0.87
2019-08-31,7400.21,-4341.05,1992.73,2,4932Z,104,-0.87,-0.5
2019-09-30,6637.75,-5984.94,2645.54,2,4932Z,104,-1.0,-0.0
2019-10-31,4179.33,-5361.54,1463.33,2,4932Z,104,-0.87,0.5
2019-11-30,4370.82,-5211.12,623.03,2,4932Z,104,-0.5,0.87
2019-12-31,5532.2,-5137.83,1017.4,2,4932Z,104,-0.0,1.0
2020-01-31,5531.11,-5605.9,942.61,2,4932Z,104,0.5,0.87
2020-02-29,3506.13,-4733.8,-285.06,2,4932Z,104,0.87,0.5
2020-03-31,3453.94,-3364.62,-195.74,2,4932Z,104,1.0,0.0
2020-04-30,3602.32,-3131.51,275.07,2,4932Z,104,0.87,-0.5
2020-05-31,3940.67,-4169.97,45.77,2,4932Z,104,0.5,-0.87
2020-06-30,5000.36,-4443.97,602.16,2,4932Z,104,0.0,-1.0
2020-07-31,4746.42,-4285.87,1062.71,2,4932Z,104,-0.5,-0.87
2020-08-31,4106.18,-3098.42,2070.47,2,4932Z,104,-0.87,-0.5
2020-09-30,2557.35,-4255.01,372.81,2,4932Z,104,-1.0,-0.0
2020-01-31,83.55,0.0,458.55,5,5320Z,143,0.5,0.87
2020-02-29,493.28,-575.76,376.07,5,5320Z,143,0.87,0.5
2020-03-31,219.14,-56.59,538.62,5,5320Z,143,1.0,0.0
2020-04-30,1498.64,-1411.56,625.7,5,5320Z,143,0.87,-0.5
2020-05-31,1980.24,-2058.52,547.42,5,5320Z,143,0.5,-0.87
2020-06-30,1222.69,-545.21,1224.9,5,5320Z,143,0.0,-1.0
2020-07-31,25.0,-1298.74,-48.84,5,5320Z,143,-0.5,-0.87
2020-08-31,63.71,-11.88,2.99,5,5320Z,143,-0.87,-0.5
2020-09-30,140.99,-143.88,0.1,5,5320Z,143,-1.0,-0.0
2019-06-30,70.99,-17.0,-7114.93,7,9101Z,35,0.0,-1.0
2019-07-31,2524.25,-2414.96,-7005.64,7,9101Z,35,-0.5,-0.87
2019-08-31,2330.0,-1861.37,-6537.01,7,9101Z,35,-0.87,-0.5
2019-09-30,4110.0,-4740.06,-7167.07,7,9101Z,35,-1.0,-0.0
2019-10-31,3180.0,-2212.2,-6199.27,7,9101Z,35,-0.87,0.5
2019-11-30,3690.0,-3736.61,-6245.88,7,9101Z,35,-0.5,0.87
2019-12-31,3660.0,-3598.62,-6184.5,7,9101Z,35,-0.0,1.0
2020-01-31,1750.0,-854.97,-5289.47,7,9101Z,35,0.5,0.87
2020-02-29,720.0,-1429.47,-5998.94,7,9101Z,35,0.87,0.5
2020-03-31,1335.0,-2065.51,-6729.45,7,9101Z,35,1.0,0.0
2020-04-30,690.0,-417.44,-6456.89,7,9101Z,35,0.87,-0.5
2020-05-31,10025.0,-6710.24,-3142.13,7,9101Z,35,0.5,-0.87
2020-06-30,7290.0,-6917.36,-2769.49,7,9101Z,35,0.0,-1.0
2020-07-31,8314.0,-5446.99,97.52,7,9101Z,35,-0.5,-0.87
2020-08-31,8341.0,-7537.47,901.05,7,9101Z,35,-0.87,-0.5
2020-09-30,8187.0,-8314.85,773.2,7,9101Z,35,-1.0,-0.0
2020-01-31,1521.22,-288.13,-43156.08,8,6201Z,172,0.5,0.87
2020-02-29,7200.0,-5083.24,-41039.32,8,6201Z,172,0.87,0.5
2020-03-31,300.0,-493.77,-41233.09,8,6201Z,172,1.0,0.0
2020-04-30,7200.0,-336.66,-34369.75,8,6201Z,172,0.87,-0.5
2020-05-31,75.0,-411.15,-34705.9,8,6201Z,172,0.5,-0.87
2020-06-30,8060.4,-1224.02,-27869.52,8,6201Z,172,0.0,-1.0
2020-07-31,5200.0,-434.54,-23104.06,8,6201Z,172,-0.5,-0.87
2020-08-31,30160.12,-2293.9,4762.16,8,6201Z,172,-0.87,-0.5
2020-09-30,0.0,-1294.08,3468.08,8,6201Z,172,-1.0,-0.0
2020-02-29,69.5,-1011.2,-3871.84,9,4778C,71,0.87,0.5
2020-03-31,4816.68,-3266.27,-2321.43,9,4778C,71,1.0,0.0
2020-04-30,5463.94,-6343.45,-3200.94,9,4778C,71,0.87,-0.5
2020-05-31,3705.51,-3158.71,-2654.14,9,4778C,71,0.5,-0.87
2020-06-30,2650.29,-4945.91,-4949.76,9,4778C,71,0.0,-1.0
2020-07-31,3847.82,-3674.94,-4776.88,9,4778C,71,-0.5,-0.87
2020-08-31,4264.06,-4179.86,-4692.68,9,4778C,71,-0.87,-0.5
2020-09-30,6098.54,-2272.94,-867.08,9,4778C,71,-1.0,-0.0
2019-03-31,200.0,-269.31,-12604.61,12,6201Z,197,1.0,0.0
2019-04-30,1150.0,-1179.27,-12633.88,12,6201Z,197,0.87,-0.5
2019-05-31,1500.0,-1350.0,-12483.88,12,6201Z,197,0.5,-0.87
2019-06-30,4460.0,-3253.56,-11277.44,12,6201Z,197,0.0,-1.0
2019-07-31,3422.02,-2886.37,-10741.79,12,6201Z,197,-0.5,-0.87
2019-08-31,1075.33,-1871.92,-11538.38,12,6201Z,197,-0.87,-0.5
2019-09-30,3265.44,-2929.67,-11202.61,12,6201Z,197,-1.0,-0.0
2019-10-31,3262.0,-3252.53,-11193.14,12,6201Z,197,-0.87,0.5
2019-11-30,4446.0,-3593.12,-10340.26,12,6201Z,197,-0.5,0.87
2019-12-31,2060.0,-2719.06,-10999.32,12,6201Z,197,-0.0,1.0
2020-01-31,7700.0,-3982.43,-7281.75,12,6201Z,197,0.5,0.87
2020-02-29,3025.0,-1591.3,-5848.05,12,6201Z,197,0.87,0.5
2020-03-31,2930.0,-1875.83,-4793.88,12,6201Z,197,1.0,0.0
2020-04-30,2300.0,-1382.24,-3876.12,12,6201Z,197,0.87,-0.5
